,Near_Class,Source,Target,mean,count,std,sum
0,1,南通市,上海市,31.937459829867667,1058.0,30.749132682187284,33789.83249999999
1,1,嘉兴市,上海市,30.346521739130434,345.0,29.039830333946167,10469.55
2,1,无锡市,上海市,22.84496478873239,71.0,19.016733310490366,1621.9924999999998
3,1,泰州市,上海市,12.6428125,40.0,8.344645934083983,505.7125
4,1,盐城市,上海市,22.428571428571434,14.0,11.439039501867047,314.00000000000006
5,1,绍兴市,上海市,17.9125,2.0,11.950104602052653,35.825
6,1,舟山市,上海市,6.1625,1.0,,6.1625
7,1,苏州市,上海市,18.30688144329897,97.0,18.11178028328714,1775.7675
8,2,常州市,南通市,21.009681647940074,267.0,16.001023733454417,5609.585
9,2,湖州市,南通市,4.10625,2.0,0.02651650429449528,8.2125
10,2,镇江市,南通市,3.44,2.0,0.6222539674441617,6.88
11,2,宁波市,嘉兴市,13.7875,1.0,,13.7875
12,2,杭州市,嘉兴市,16.3,1.0,,16.3
13,2,南京市,无锡市,5.79375,2.0,1.988737822087165,11.5875
14,2,宣城市,无锡市,7.53125,4.0,4.812965345467041,30.125
15,2,宿迁市,无锡市,9.533333333333333,3.0,0.4052571200279314,28.6
16,2,扬州市,无锡市,23.029101562500014,64.0,14.991596444733414,1473.8625000000009
17,2,淮安市,无锡市,16.512,5.0,9.054265293219544,82.56
18,2,连云港市,无锡市,69.63571428571429,7.0,38.53280154930466,487.45
19,2,台州市,绍兴市,5.641666666666667,3.0,0.9887123359872342,16.925
20,3,芜湖市,常州市,15.111538461538458,13.0,14.811529523006643,196.44999999999996
21,3,马鞍山市,常州市,21.728589743589744,39.0,22.77383038907637,847.415
22,3,滁州市,镇江市,18.413577586206912,116.0,15.983354314193825,2135.9750000000017
23,3,金华市,杭州市,6.1625,1.0,,6.1625
24,3,合肥市,南京市,15.723333333333334,6.0,9.175318341434627,94.34
25,3,宿州市,南京市,16.650000000000002,1.0,,16.650000000000002
26,3,蚌埠市,南京市,11.388,5.0,4.975768282386149,56.94
27,3,铜陵市,宣城市,15.50907894736842,133.0,14.513540890273617,2062.7075
28,3,徐州市,宿迁市,8.098,5.0,2.683806997531678,40.49
29,3,丽水市,台州市,8.8125,2.0,6.982679464217157,17.625
30,4,淮南市,滁州市,5.09,2.0,2.4465894629054543,10.18
31,4,衢州市,金华市,16.8874609375,64.0,17.576598267164076,1080.7975
32,4,六安市,合肥市,18.90064853556486,478.0,15.775587264363349,9034.510000000002
33,4,安庆市,合肥市,22.2834375,40.0,16.545341592891962,891.3375000000001
34,4,阜阳市,合肥市,28.506931818181826,22.0,27.29475276551968,627.1525000000001
35,4,亳州市,宿州市,28.083312182741114,197.0,30.767559019992607,5532.412499999999
36,4,淮北市,宿州市,36.842165354330724,381.0,39.500756379369776,14036.865000000007
37,4,黄山市,铜陵市,7.984090909090907,22.0,4.491255627370769,175.64999999999995
38,5,池州市,六安市,7.609375,4.0,3.6401890833444353,30.4375
