,Source,Target,Volume,class
0,上海市,绍兴市,65.0,轻度
1,镇江市,无锡市,160.0,中度
2,淮安市,南京市,852.0,中度
3,宿州市,淮北市,1353.0,中度
4,滁州市,合肥市,1845.0,重度
5,淮安市,连云港市,11707.0,重度
6,淮安市,宿州市,8.0,轻度
7,合肥市,淮安市,14.0,轻度
8,无锡市,宣城市,191.0,中度
9,扬州市,宿迁市,34.0,轻度
10,宿州市,南京市,17.0,轻度
11,南通市,镇江市,4.0,轻度
12,镇江市,湖州市,1823.0,重度
13,上海市,南通市,694.0,中度
14,合肥市,滁州市,3397.0,重度
15,南京市,湖州市,541.0,中度
16,合肥市,宿州市,22.0,轻度
17,丽水市,金华市,407.0,中度
18,徐州市,淮北市,2050.0,重度
19,杭州市,湖州市,3654.0,重度
20,淮南市,铜陵市,4.0,轻度
21,泰州市,常州市,7010.0,重度
22,黄山市,铜陵市,37.0,轻度
23,南京市,镇江市,28141.0,重度
24,宁波市,绍兴市,403.0,中度
25,苏州市,南通市,5822.0,重度
26,常州市,芜湖市,694.0,中度
27,嘉兴市,宁波市,6135.0,重度
28,合肥市,安庆市,13165.0,重度
29,湖州市,苏州市,32333.0,重度
30,泰州市,无锡市,14968.0,重度
31,南通市,扬州市,3.0,轻度
32,丽水市,台州市,30.0,轻度
33,连云港市,扬州市,1254.0,中度
34,舟山市,上海市,243.0,中度
35,合肥市,池州市,822.0,中度
36,亳州市,六安市,156.0,中度
37,金华市,丽水市,7313.0,重度
38,无锡市,泰州市,10942.0,重度
39,宣城市,黄山市,252.0,中度
40,金华市,台州市,3.0,轻度
41,无锡市,嘉兴市,1582.0,中度
42,滁州市,蚌埠市,1534.0,中度
43,宿迁市,镇江市,26.0,轻度
44,湖州市,无锡市,5183.0,重度
45,宿州市,合肥市,1255.0,中度
46,盐城市,镇江市,327.0,中度
47,常州市,湖州市,7041.0,重度
48,扬州市,盐城市,4253.0,重度
49,南通市,嘉兴市,4606.0,重度
50,淮安市,常州市,290.0,中度
51,徐州市,六安市,7.0,轻度
52,蚌埠市,宿州市,9497.0,重度
53,铜陵市,蚌埠市,15.0,轻度
54,苏州市,宁波市,157.0,中度
55,马鞍山市,宣城市,2766.0,重度
56,嘉兴市,南通市,401.0,中度
57,南通市,盐城市,932.0,中度
58,湖州市,宣城市,740.0,中度
59,无锡市,宁波市,9.0,轻度
60,蚌埠市,合肥市,13555.0,重度
61,芜湖市,金华市,23.0,轻度
62,亳州市,蚌埠市,169.0,中度
63,扬州市,镇江市,17909.0,重度
64,马鞍山市,常州市,596.0,中度
65,苏州市,湖州市,15370.0,重度
66,蚌埠市,安庆市,58.0,轻度
67,上海市,泰州市,80.0,轻度
68,宣城市,南京市,12.0,轻度
69,杭州市,金华市,557.0,中度
70,扬州市,泰州市,3479.0,重度
71,无锡市,芜湖市,32.0,轻度
72,六安市,滁州市,19.0,轻度
73,淮北市,蚌埠市,369.0,中度
74,台州市,温州市,151.0,中度
75,滁州市,镇江市,2048.0,重度
76,嘉兴市,上海市,5170.0,重度
77,六安市,蚌埠市,596.0,中度
78,连云港市,无锡市,487.0,中度
79,合肥市,南京市,94.0,轻度
80,黄山市,芜湖市,14.0,轻度
81,淮北市,徐州市,8236.0,重度
82,南京市,苏州市,4.0,轻度
83,滁州市,安庆市,7.0,轻度
84,盐城市,宿迁市,7.0,轻度
85,苏州市,杭州市,230.0,中度
86,杭州市,马鞍山市,23.0,轻度
87,连云港市,淮安市,4350.0,重度
88,滁州市,南京市,30175.0,重度
89,丽水市,温州市,3.0,轻度
90,嘉兴市,舟山市,281.0,中度
91,宿迁市,南京市,138.0,中度
92,舟山市,台州市,5.0,轻度
93,淮南市,六安市,4920.0,重度
94,宿州市,淮安市,93.0,轻度
95,杭州市,台州市,19.0,轻度
96,南通市,苏州市,2903.0,重度
97,盐城市,常州市,466.0,中度
98,阜阳市,蚌埠市,493.0,中度
99,合肥市,宣城市,206.0,中度
100,宿州市,铜陵市,16.0,轻度
101,黄山市,金华市,14.0,轻度
102,宣城市,常州市,15.0,轻度
103,淮安市,盐城市,419.0,中度
104,淮南市,淮北市,5159.0,重度
105,常州市,镇江市,5955.0,重度
106,泰州市,湖州市,17.0,轻度
107,黄山市,宣城市,3.0,轻度
108,阜阳市,淮北市,50.0,轻度
109,滁州市,淮安市,2547.0,重度
110,杭州市,芜湖市,10.0,轻度
111,马鞍山市,淮安市,6.0,轻度
112,宣城市,马鞍山市,83.0,轻度
113,盐城市,泰州市,18088.0,重度
114,池州市,黄山市,24.0,轻度
115,淮南市,合肥市,1936.0,重度
116,南京市,滁州市,2112.0,重度
117,蚌埠市,滁州市,21555.0,重度
118,扬州市,滁州市,632.0,中度
119,杭州市,宣城市,425.0,中度
120,安庆市,池州市,103125.0,重度
121,台州市,绍兴市,20.0,轻度
122,镇江市,滁州市,592.0,中度
123,六安市,淮南市,50.0,轻度
124,淮安市,宿迁市,24495.0,重度
125,蚌埠市,徐州市,1548.0,中度
126,蚌埠市,芜湖市,246.0,中度
127,安庆市,蚌埠市,14.0,轻度
128,嘉兴市,苏州市,702.0,中度
129,无锡市,南通市,15244.0,重度
130,湖州市,绍兴市,1444.0,中度
131,绍兴市,嘉兴市,7775.0,重度
132,芜湖市,铜陵市,5767.0,重度
133,淮北市,阜阳市,332.0,中度
134,蚌埠市,马鞍山市,1038.0,中度
135,苏州市,嘉兴市,6287.0,重度
136,扬州市,湖州市,45.0,轻度
137,金华市,衢州市,203.0,中度
138,南京市,常州市,2524.0,重度
139,六安市,铜陵市,34.0,轻度
140,安庆市,黄山市,240.0,中度
141,常州市,上海市,16.0,轻度
142,滁州市,马鞍山市,35040.0,重度
143,铜陵市,合肥市,3338.0,重度
144,宿州市,徐州市,15079.0,重度
145,无锡市,苏州市,28708.0,重度
146,南通市,泰州市,7271.0,重度
147,滁州市,铜陵市,785.0,中度
148,扬州市,淮安市,3904.0,重度
149,宿迁市,宿州市,226.0,中度
150,蚌埠市,扬州市,246.0,中度
151,滁州市,宿迁市,128.0,轻度
152,宿州市,六安市,1460.0,中度
153,扬州市,马鞍山市,267.0,中度
154,滁州市,淮南市,8.0,轻度
155,亳州市,阜阳市,29099.0,重度
156,南京市,扬州市,6816.0,重度
157,南通市,舟山市,49.0,轻度
158,绍兴市,苏州市,408.0,中度
159,泰州市,苏州市,1180.0,中度
160,盐城市,淮安市,196.0,中度
161,南京市,淮安市,57.0,轻度
162,黄山市,衢州市,1184.0,中度
163,镇江市,扬州市,20585.0,重度
164,淮南市,蚌埠市,30621.0,重度
165,宿迁市,泰州市,14.0,轻度
166,马鞍山市,合肥市,301.0,中度
